part_name,brand,model,previous_size,refined_group_count,largest_refined_group,smallest_refined_group,singleton_refined_groups
"engine diesel - , e-",vw,golf,28,3,14,6,0
ignition diesel relay -,skoda,octavia,28,3,17,5,0
other control unit -,skoda,octavia,28,3,17,5,0
"fuel tank injection - , e-",vw,golf,28,2,23,5,0
airbag front sensor -(right),toyota,corolla,27,5,8,1,1
rain sensor -,skoda,octavia,27,5,6,4,0
"rear axle beam - , e-",vw,golf,27,4,11,5,0
"insp.pump diesel control unit - , e-",vw,golf,27,3,12,6,0
"cam belt / transmission cap - , e-",vw,golf,27,2,21,6,0
"deliverer - , e-",vw,golf,27,2,17,10,0
adaptiv farthållare sensor -,skoda,octavia,26,4,12,3,0
"inter axle compl. - , e-",vw,golf,26,4,10,5,0
"diesel injection pump - , e-",vw,golf,25,5,5,5,0
parkeringshjälp frontsensor -,skoda,octavia,25,3,18,1,1
brake caliper -(left rear),skoda,octavia,25,3,15,5,0
"fuel distributor - , e-",vw,golf,25,3,15,5,0
brake intensity regulator -,toyota,corolla,25,2,15,10,0
other sensor -,skoda,octavia,25,2,15,10,0
gear box bracket -,toyota,corolla,24,6,18,1,4
dragkrok styrenhet -,skoda,octavia,24,5,6,1,1
"passenger airbag - , e-",vw,golf,24,5,6,3,0
fly wheel automat -,skoda,octavia,24,4,6,6,0
"fuel injection pump - , e-",vw,golf,24,4,6,6,0
inverter 12 -> 220 v -,skoda,octavia,24,4,6,6,0
"other airbags - , e-",vw,golf,24,4,6,6,0
rear axle beam -,skoda,octavia,24,4,6,6,0
"actuator loom - , e-",vw,golf,24,3,12,6,0
alternator bracket / accessories -,skoda,octavia,24,3,12,6,0
automatic gear -,skoda,octavia,24,3,12,6,0
gear box bracket -,skoda,octavia,24,3,12,6,0
"gear distributor box - , e-",vw,golf,24,3,12,6,0
gear lever -,skoda,octavia,24,3,12,6,0
"hand brake lever - , e-",vw,golf,24,3,12,6,0
"motor bracket - , e-",vw,golf,24,3,12,6,0
steering wheel airbag -,skoda,octavia,24,3,12,6,0
"tank lid - , e-",vw,golf,24,3,12,6,0
"trailing link rear - , e-(left upper)",vw,golf,24,3,12,6,0
"fuel pump electric - , e-",vw,golf,24,2,18,6,0
gear box cushion -,skoda,octavia,24,2,12,12,0
"stolsvärme styrenhet/relä - , e-",vw,golf,24,2,18,6,0
main cylinder -,skoda,octavia,23,4,6,5,0
"engine casing - , e-",vw,golf,23,3,14,3,0
engine gasoline -,skoda,octavia,23,3,12,5,0
kamera utvändig -,skoda,octavia,23,3,12,5,0
ljusinställning lägesgivare -,skoda,octavia,23,3,11,6,0
"trailing link rear - , e-(right upper)",vw,golf,23,3,11,6,0
airbag front sensor -(right front),toyota,corolla,23,2,17,6,0
diesel tank -,skoda,octavia,23,2,12,11,0
bensin/dieselvärmare styrenhet -,skoda,octavia,22,3,11,5,0
signal horn -,skoda,octavia,22,3,12,5,0
"gear box 5 speed - , e-",vw,golf,21,4,6,5,0
rear sensor -,skoda,octavia,21,3,11,5,0
control unit xenon -,toyota,corolla,20,3,18,1,2
strut rear -(left rear),toyota,corolla,19,3,7,6,0
fuse box / electricity central -,skoda,octavia,18,5,6,2,0
caliper bracket -,toyota,corolla,18,4,6,1,1
actuator loom -,skoda,octavia,18,3,6,6,0
battery box / fixing / holder -,skoda,octavia,18,3,6,6,0
turbo aggregate -,toyota,corolla,18,3,6,6,0
abs control unit -,toyota,corolla,18,2,12,6,0
"airbag krocksensor - , e-",vw,golf,18,2,12,6,0
"brake disc - , e-(rear)",vw,golf,18,2,12,6,0
fuel tank injection -,toyota,corolla,18,2,12,6,0
"ljusinställning lägesgivare - , e-",vw,golf,18,2,12,6,0
brake disc -(front),skoda,octavia,16,2,10,6,0
actuator loom -(left rear),toyota,corolla,13,2,12,1,1
control unit xenon -,skoda,octavia,12,3,6,1,1
"air-flow sensor - , e-",vw,golf,12,2,6,6,0
"cylinder head fuel - , e-",vw,golf,12,2,6,6,0
dörr styrenhet -(left front),skoda,octavia,12,2,6,6,0
dörr styrenhet -(right front),skoda,octavia,12,2,6,6,0
hub rear -(left rear),skoda,octavia,12,2,6,6,0
oil filter holder -,skoda,octavia,12,2,6,6,0
"seat assembled - , e-",vw,golf,12,2,6,6,0
aktivt kollisionsskydd sensor -(left),skoda,octavia,11,2,6,5,0
wiper arm motor relay -,toyota,corolla,11,2,6,5,0
actuator loom -(right rear),toyota,corolla,10,4,7,1,3
hub rear -(right rear),toyota,corolla,8,2,7,1,1
actuator loom -(right front),toyota,corolla,7,2,6,1,1
airbag front sensor -(left front),toyota,corolla,7,2,6,1,1
hub rear -(left rear),toyota,corolla,7,2,6,1,1
drive shaft-(right front),toyota,corolla,6,4,3,1,3
"drive shaft- , e-(left rear)",vw,golf,6,3,4,1,2
strut rear -(right rear),toyota,corolla,6,2,5,1,1
gear box 6 speed-,toyota,corolla,5,4,2,1,3
rear axle beam -(rear),toyota,corolla,5,2,4,1,1
other sensor-,skoda,octavia,5,2,3,2,0
shock absorbers rear-(rear),skoda,octavia,5,2,3,2,0
abs hydraulic aggregate-,toyota,corolla,4,4,1,1,4
air purifier-,toyota,corolla,4,2,2,2,0
brake caliper-(left front),toyota,corolla,4,2,2,2,0
automatic gear-,toyota,corolla,3,3,1,1,3
"gear box 5 speed- , e-",vw,golf,3,3,1,1,3
"inter axle compl.- , e-",vw,golf,3,3,1,1,3
"rear axle beam- , e-",vw,golf,3,3,1,1,3
starter diesel-,toyota,corolla,3,3,1,1,3
strut rear-(left),toyota,corolla,3,3,1,1,3
"trailing link rear- , e-(right)",vw,golf,3,3,1,1,3
actuator loom -,toyota,corolla,3,2,2,1,1
rain sensor-,skoda,octavia,3,2,2,1,1
suspension-(rear),skoda,octavia,3,2,2,1,1
trailing link rear-(left),skoda,octavia,3,2,2,1,1
air purifier-,skoda,octavia,2,2,1,1,2
airbag control unit-,skoda,octavia,2,2,1,1,2
airbag control unit-,toyota,corolla,2,2,1,1,2
alternator-,toyota,corolla,2,2,1,1,2
bensin/dieselvärmare styrenhet-,skoda,octavia,2,2,1,1,2
brake caliper-(right rear),toyota,corolla,2,2,1,1,2
brake servo-,toyota,corolla,2,2,1,1,2
carbon canister-,toyota,corolla,2,2,1,1,2
deliverer-,toyota,corolla,2,2,1,1,2
drive shaft-(left front),toyota,corolla,2,2,1,1,2
fuel filling pipe / tube-,toyota,corolla,2,2,1,1,2
"fuel tank injection- , e-",vw,golf,2,2,1,1,2
gear lever-,toyota,corolla,2,2,1,1,2
"gear lever- , e-",vw,golf,2,2,1,1,2
hand brake lever-,skoda,octavia,2,2,1,1,2
ignition diesel relay-,skoda,octavia,2,2,1,1,2
komfort styrdon-,skoda,octavia,2,2,1,1,2
main cylinder-,toyota,corolla,2,2,1,1,2
other control unit-,skoda,octavia,2,2,1,1,2
passenger airbag-,toyota,corolla,2,2,1,1,2
rear gear / diff.-,skoda,octavia,2,2,1,1,2
signal horn-,skoda,octavia,2,2,1,1,2
sump-,skoda,octavia,2,2,1,1,2
suspension-(rear),toyota,corolla,2,2,1,1,2
trailing link rear-(left),toyota,corolla,2,2,1,1,2
trailing link rear-(right),skoda,octavia,2,2,1,1,2
"wheel bearing spindle shaft- , e-(right rear)",vw,golf,2,2,1,1,2
wheel bearing spindle shaft-(left rear),skoda,octavia,2,2,1,1,2
wheel bearing spindle shaft-(left rear),toyota,corolla,2,2,1,1,2
