part_name,brand,model,oem_number,row_count,product_id_count,product_id_sample,median_price,min_price,max_price,rows_per_product_id
gear box bracket -,toyota,corolla,fi07265116a,2,2,"53659800, 53667121",26.6,26.6,26.6,1.0
hand brake lever -,toyota,corolla,fi01853355a,2,2,"53817071, 53829075",35.5,35.5,35.5,1.0
"ignition diesel relay- , e-",vw,golf,fi10331575a,2,2,"54038732, 54064944",20.75,5.9,35.6,1.0
knee -,toyota,corolla,fi02042722a,2,2,"53573229, 53581161",118.4,118.4,118.4,1.0
main cylinder -,toyota,corolla,fi22893129a,2,2,"59746205, 59747247",71.0,71.0,71.0,1.0
mass air-flow sensor -,toyota,corolla,fi10331575a,2,2,"54036224, 54070887",74.0,71.0,77.0,1.0
other control unit -,toyota,corolla,fi02042722a,2,2,"53608931, 53608953",355.2,355.2,355.2,1.0
other control unit -,toyota,corolla,fi03986645a,2,2,"60119199, 60125605",378.9,378.9,378.9,1.0
other relay -,toyota,corolla,fi05028803a,2,2,"58710791, 66210039",35.5,35.5,35.5,1.0
other sensor-,skoda,octavia,fi23857664a,2,2,"54679054, 54687528",35.5,35.5,35.5,1.0
power steering control unit -,toyota,corolla,fi10331575a,2,2,"54063166, 54068576",171.7,165.8,177.6,1.0
rear axle -,toyota,corolla,fi06376738a,2,2,"64257773, 65754016",272.35,260.5,284.2,1.0
rear axle beam-,toyota,corolla,fi27837687a,2,2,"64546427, 65680830",415.2,415.2,415.2,1.0
sensor abs -,toyota,corolla,fi05028803a,2,2,"53835699, 53875465",41.4,41.4,41.4,1.0
shock absorbers rear -(rear),toyota,corolla,fi09389104a,2,2,"54248598, 60410274",59.2,59.2,59.2,1.0
shock absorbers rear -(rear),toyota,corolla,fi11042417a,2,2,"54517092, 54529255",59.2,59.2,59.2,1.0
shock absorbers rear-(rear),skoda,octavia,fi05028803a,2,2,"59673189, 59673190",47.6,47.6,47.6,1.0
strut rear -(left),toyota,corolla,fi10331575a,2,2,"54008914, 54034252",35.5,29.6,41.4,1.0
suspension -(rear),toyota,corolla,fi06018105a,2,2,"54491760, 54491761",35.5,35.5,35.5,1.0
suspension -(rear),toyota,corolla,fi23857664a,2,2,"56269534, 56269536",35.5,35.5,35.5,1.0
suspension -(rear),toyota,corolla,fi30987993a,2,2,"55960953, 55960954",35.5,35.5,35.5,1.0
tank lid -,toyota,corolla,fi05028803a,2,2,"53838227, 53864712",38.45,35.5,41.4,1.0
tank transmitters -,toyota,corolla,fi06292622a,2,2,"54164860, 56096089",26.65,17.8,35.5,1.0
trailing link rear -(left),toyota,corolla,fi02154548a,2,2,"53722743, 53722744",59.2,59.2,59.2,1.0
trailing link rear -(left),toyota,corolla,fi06509801a,2,2,"59240210, 59240688",56.2,56.2,56.2,1.0
trailing link rear -(right),toyota,corolla,fi02154548a,2,2,"53707144, 53725967",59.2,59.2,59.2,1.0
trailing link rear -(right),toyota,corolla,fi06509801a,2,2,"59240212, 59240687",56.2,56.2,56.2,1.0
