component_id,split,component_size
candidate_component_000119,train,24
candidate_component_000120,train,24
candidate_component_000121,train,24
candidate_component_000122,train,24
candidate_component_000123,train,24
candidate_component_000124,train,24
candidate_component_000125,train,24
candidate_component_000126,test,24
candidate_component_000127,train,24
candidate_component_000128,train,24
candidate_component_000129,train,24
candidate_component_000130,train,24
candidate_component_000131,train,24
candidate_component_000132,train,24
candidate_component_000133,train,24
candidate_component_000134,train,24
candidate_component_000135,train,24
candidate_component_000136,train,24
candidate_component_000137,train,24
candidate_component_000138,train,24
candidate_component_000139,train,24
candidate_component_000140,train,24
candidate_component_000141,train,24
candidate_component_000142,train,24
candidate_component_000143,train,24
candidate_component_000144,train,24
candidate_component_000145,train,24
candidate_component_000146,validation,24
candidate_component_000147,train,24
candidate_component_000148,train,24
candidate_component_000149,train,24
candidate_component_000150,validation,24
candidate_component_000151,test,24
candidate_component_000152,train,24
candidate_component_000153,test,24
candidate_component_000154,train,24
candidate_component_000155,train,24
candidate_component_000156,validation,24
candidate_component_000157,train,24
candidate_component_000158,train,24
candidate_component_000159,train,23
candidate_component_000160,train,23
candidate_component_000161,train,23
candidate_component_000162,train,23
candidate_component_000163,test,22
candidate_component_000164,validation,22
candidate_component_000165,train,21
candidate_component_000166,train,21
candidate_component_000167,train,21
candidate_component_000168,train,21
candidate_component_000169,validation,21
candidate_component_000170,train,20
candidate_component_000171,test,20
candidate_component_000172,validation,19
candidate_component_000173,train,19
candidate_component_000174,train,19
candidate_component_000175,train,19
candidate_component_000176,test,19
candidate_component_000177,train,19
candidate_component_000178,train,19
candidate_component_000179,train,18
candidate_component_000180,train,18
candidate_component_000181,test,18
candidate_component_000182,train,18
candidate_component_000183,train,18
candidate_component_000184,validation,18
candidate_component_000185,train,18
candidate_component_000186,train,18
candidate_component_000187,train,18
candidate_component_000188,validation,18
candidate_component_000189,train,18
candidate_component_000190,test,18
candidate_component_000191,train,18
candidate_component_000192,train,18
candidate_component_000193,train,18
candidate_component_000194,train,18
candidate_component_000195,validation,18
candidate_component_000196,train,18
candidate_component_000197,test,18
candidate_component_000198,train,18
candidate_component_000199,train,18
candidate_component_000200,train,18
candidate_component_000201,test,18
candidate_component_000202,train,18
candidate_component_000203,validation,18
candidate_component_000204,validation,18
candidate_component_000205,train,18
candidate_component_000206,train,18
candidate_component_000207,train,18
candidate_component_000208,validation,18
candidate_component_000209,train,18
candidate_component_000210,test,18
candidate_component_000211,train,18
candidate_component_000212,train,18
candidate_component_000213,train,18
candidate_component_000214,validation,18
candidate_component_000215,train,18
candidate_component_000216,train,18
candidate_component_000217,train,18
candidate_component_000218,train,18
candidate_component_000219,train,18
candidate_component_000220,train,18
candidate_component_000221,train,18
candidate_component_000222,train,18
candidate_component_000223,train,18
candidate_component_000224,train,18
candidate_component_000225,train,18
candidate_component_000226,train,18
candidate_component_000227,train,18
candidate_component_000228,train,18
candidate_component_000229,train,18
candidate_component_000230,train,18
candidate_component_000231,validation,18
candidate_component_000232,test,18
candidate_component_000233,test,18
candidate_component_000234,train,18
candidate_component_000235,train,18
candidate_component_000236,validation,18
candidate_component_000237,train,18
candidate_component_000238,train,18
candidate_component_000239,train,18
candidate_component_000240,train,18
candidate_component_000241,train,18
candidate_component_000242,validation,18
candidate_component_000243,train,18
candidate_component_000244,train,18
candidate_component_000245,test,18
candidate_component_000246,train,18
candidate_component_000247,validation,18
candidate_component_000248,validation,18
candidate_component_000249,train,18
candidate_component_000250,test,18
candidate_component_000251,train,18
candidate_component_000252,validation,18
candidate_component_000253,train,18
candidate_component_000254,train,18
candidate_component_000255,train,18
candidate_component_000256,train,18
candidate_component_000257,train,17
candidate_component_000258,train,17
candidate_component_000259,train,17
candidate_component_000260,train,17
candidate_component_000261,train,17
candidate_component_000262,train,17
candidate_component_000263,train,16
candidate_component_000264,train,16
candidate_component_000265,validation,16
candidate_component_000266,validation,16
candidate_component_000267,validation,16
candidate_component_000268,train,16
candidate_component_000269,train,15
candidate_component_000270,test,15
candidate_component_000271,validation,14
candidate_component_000272,train,14
candidate_component_000273,train,14
candidate_component_000274,validation,14
candidate_component_000275,test,14
candidate_component_000276,validation,14
candidate_component_000277,test,14
candidate_component_000278,train,14
candidate_component_000279,train,14
candidate_component_000280,train,13
candidate_component_000281,test,13
candidate_component_000282,train,13
candidate_component_000283,test,13
candidate_component_000284,test,13
candidate_component_000285,train,13
candidate_component_000286,validation,13
candidate_component_000287,train,13
candidate_component_000288,validation,13
candidate_component_000289,train,13
candidate_component_000290,test,13
candidate_component_000291,train,13
candidate_component_000292,train,13
candidate_component_000293,train,13
candidate_component_000294,train,12
candidate_component_000295,train,12
candidate_component_000296,train,12
candidate_component_000297,test,12
candidate_component_000298,train,12
candidate_component_000299,validation,12
candidate_component_000300,train,12
candidate_component_000301,validation,12
candidate_component_000302,train,12
candidate_component_000303,train,12
candidate_component_000304,train,12
candidate_component_000305,train,12
candidate_component_000306,train,12
candidate_component_000307,train,12
candidate_component_000308,test,12
candidate_component_000309,test,12
candidate_component_000310,test,12
candidate_component_000311,train,12
candidate_component_000312,train,12
candidate_component_000313,validation,12
candidate_component_000314,test,12
candidate_component_000315,train,12
candidate_component_000316,train,12
candidate_component_000317,train,12
candidate_component_000318,train,12
candidate_component_000319,train,12
candidate_component_000320,train,12
candidate_component_000321,train,12
candidate_component_000322,train,12
candidate_component_000323,train,12
candidate_component_000324,validation,12
candidate_component_000325,train,12
candidate_component_000326,validation,12
candidate_component_000327,train,12
candidate_component_000328,train,12
candidate_component_000329,train,12
candidate_component_000330,train,12
candidate_component_000331,train,12
candidate_component_000332,train,12
candidate_component_000333,train,12
candidate_component_000334,train,12
candidate_component_000335,test,12
candidate_component_000336,test,12
candidate_component_000337,train,12
candidate_component_000338,train,12
candidate_component_000339,train,12
candidate_component_000340,train,12
candidate_component_000341,train,12
candidate_component_000342,train,12
candidate_component_000343,train,12
candidate_component_000344,validation,12
candidate_component_000345,test,12
candidate_component_000346,validation,12
candidate_component_000347,train,12
candidate_component_000348,train,12
candidate_component_000349,test,12
candidate_component_000350,validation,12
candidate_component_000351,test,12
candidate_component_000352,validation,12
candidate_component_000353,train,12
candidate_component_000354,test,12
candidate_component_000355,train,12
candidate_component_000356,train,12
candidate_component_000357,train,12
candidate_component_000358,train,12
candidate_component_000359,test,12
candidate_component_000360,train,12
candidate_component_000361,train,12
candidate_component_000362,train,12
candidate_component_000363,train,12
candidate_component_000364,train,12
candidate_component_000365,train,12
candidate_component_000366,test,12
candidate_component_000367,train,12
candidate_component_000368,validation,12
candidate_component_000369,validation,12
candidate_component_000370,validation,12
candidate_component_000371,train,12
candidate_component_000372,train,12
candidate_component_000373,validation,12
candidate_component_000374,test,12
candidate_component_000375,train,12
candidate_component_000376,train,12
candidate_component_000377,train,12
candidate_component_000378,train,12
candidate_component_000379,train,12
candidate_component_000380,train,12
candidate_component_000381,train,12
candidate_component_000382,test,12
candidate_component_000383,validation,12
candidate_component_000384,train,12
candidate_component_000385,train,12
candidate_component_000386,train,12
candidate_component_000387,validation,12
candidate_component_000388,train,12
candidate_component_000389,validation,12
candidate_component_000390,train,12
candidate_component_000391,train,12
candidate_component_000392,validation,12
candidate_component_000393,test,12
candidate_component_000394,train,12
candidate_component_000395,train,12
candidate_component_000396,validation,12
candidate_component_000397,train,12
candidate_component_000398,validation,12
candidate_component_000399,test,12
candidate_component_000400,train,12
candidate_component_000401,train,12
candidate_component_000402,test,12
candidate_component_000403,train,12
candidate_component_000404,train,12
candidate_component_000405,train,12
candidate_component_000406,test,12
candidate_component_000407,test,12
candidate_component_000408,validation,12
candidate_component_000409,train,12
candidate_component_000410,train,12
candidate_component_000411,test,12
candidate_component_000412,train,12
candidate_component_000413,test,12
candidate_component_000414,train,12
candidate_component_000415,train,12
candidate_component_000416,validation,11
candidate_component_000417,train,11
candidate_component_000418,train,11
candidate_component_000419,train,11
candidate_component_000420,test,11
candidate_component_000421,train,11
candidate_component_000422,test,11
candidate_component_000423,validation,10
candidate_component_000424,validation,10
candidate_component_000425,train,10
candidate_component_000426,validation,10
candidate_component_000427,train,10
candidate_component_000428,train,10
candidate_component_000429,train,10
candidate_component_000430,test,9
candidate_component_000431,train,9
candidate_component_000432,train,9
candidate_component_000433,train,9
candidate_component_000434,train,9
candidate_component_000435,train,9
candidate_component_000436,validation,8
candidate_component_000437,test,8
candidate_component_000438,validation,8
candidate_component_000439,test,8
candidate_component_000440,train,8
candidate_component_000441,train,8
candidate_component_000442,train,8
candidate_component_000443,train,8
candidate_component_000444,train,8
candidate_component_000445,test,7
candidate_component_000446,test,7
candidate_component_000447,train,7
candidate_component_000448,test,7
candidate_component_000449,test,7
candidate_component_000450,train,7
candidate_component_000451,train,7
candidate_component_000452,train,7
candidate_component_000453,train,7
candidate_component_000454,validation,7
candidate_component_000455,train,7
candidate_component_000456,validation,7
candidate_component_000457,train,7
candidate_component_000458,train,7
candidate_component_000459,validation,7
candidate_component_000460,test,7
candidate_component_000461,test,7
candidate_component_000462,validation,7
candidate_component_000463,train,7
candidate_component_000464,test,7
candidate_component_000465,validation,7
candidate_component_000466,train,7
candidate_component_000467,train,6
candidate_component_000468,train,6
candidate_component_000469,validation,6
candidate_component_000470,validation,6
candidate_component_000471,validation,6
candidate_component_000472,validation,6
candidate_component_000473,test,6
candidate_component_000474,train,6
candidate_component_000475,train,6
candidate_component_000476,train,6
candidate_component_000477,test,6
candidate_component_000478,train,6
candidate_component_000479,validation,6
candidate_component_000480,test,6
candidate_component_000481,test,6
candidate_component_000482,validation,6
candidate_component_000483,train,6
candidate_component_000484,test,6
candidate_component_000485,validation,6
candidate_component_000486,train,6
candidate_component_000487,test,6
candidate_component_000488,validation,6
candidate_component_000489,test,6
candidate_component_000490,test,6
candidate_component_000491,train,6
candidate_component_000492,train,6
candidate_component_000493,validation,6
candidate_component_000494,train,6
candidate_component_000495,train,6
candidate_component_000496,train,6
candidate_component_000497,test,6
candidate_component_000498,validation,6
candidate_component_000499,test,6
candidate_component_000500,validation,6
candidate_component_000501,validation,6
candidate_component_000502,validation,6
candidate_component_000503,test,6
candidate_component_000504,train,6
candidate_component_000505,train,6
candidate_component_000506,validation,6
candidate_component_000507,test,6
candidate_component_000508,train,6
candidate_component_000509,train,6
candidate_component_000510,train,6
candidate_component_000511,validation,6
candidate_component_000512,test,6
candidate_component_000513,train,6
candidate_component_000514,validation,6
candidate_component_000515,train,6
candidate_component_000516,train,6
candidate_component_000517,test,6
candidate_component_000518,validation,6
candidate_component_000519,train,6
candidate_component_000520,test,6
candidate_component_000521,test,6
candidate_component_000522,validation,6
candidate_component_000523,train,6
candidate_component_000524,validation,6
candidate_component_000525,train,6
candidate_component_000526,validation,6
candidate_component_000527,test,6
candidate_component_000528,test,6
candidate_component_000529,train,6
candidate_component_000530,validation,6
candidate_component_000531,test,6
candidate_component_000532,validation,6
candidate_component_000533,train,6
candidate_component_000534,test,6
candidate_component_000535,test,6
candidate_component_000536,train,6
candidate_component_000537,validation,6
candidate_component_000538,validation,6
candidate_component_000539,validation,6
candidate_component_000540,train,6
candidate_component_000541,validation,6
candidate_component_000542,train,6
candidate_component_000543,validation,6
candidate_component_000544,test,6
candidate_component_000545,train,6
candidate_component_000546,train,6
candidate_component_000547,test,6
candidate_component_000548,validation,6
candidate_component_000549,test,6
candidate_component_000550,test,6
candidate_component_000551,validation,6
candidate_component_000552,train,6
candidate_component_000553,validation,6
candidate_component_000554,validation,6
candidate_component_000555,test,6
candidate_component_000556,train,6
candidate_component_000557,train,6
candidate_component_000558,train,6
candidate_component_000559,validation,6
candidate_component_000560,test,6
candidate_component_000561,train,6
candidate_component_000562,validation,6
candidate_component_000563,validation,6
candidate_component_000564,validation,6
candidate_component_000565,test,6
candidate_component_000566,train,6
candidate_component_000567,test,6
candidate_component_000568,test,6
candidate_component_000569,train,6
candidate_component_000570,test,6
candidate_component_000571,test,6
candidate_component_000572,validation,6
candidate_component_000573,test,6
candidate_component_000574,test,6
candidate_component_000575,train,6
candidate_component_000576,validation,6
candidate_component_000577,train,6
candidate_component_000578,train,6
candidate_component_000579,test,6
candidate_component_000580,train,6
candidate_component_000581,train,6
candidate_component_000582,train,6
candidate_component_000583,test,6
candidate_component_000584,train,6
candidate_component_000585,test,6
candidate_component_000586,train,6
candidate_component_000587,validation,6
candidate_component_000588,test,6
candidate_component_000589,validation,6
candidate_component_000590,train,6
candidate_component_000591,train,6
candidate_component_000592,test,6
candidate_component_000593,test,6
candidate_component_000594,train,6
candidate_component_000595,test,6
candidate_component_000596,train,6
candidate_component_000597,train,6
candidate_component_000598,test,6
candidate_component_000599,train,6
candidate_component_000600,test,6
candidate_component_000601,train,6
candidate_component_000602,test,6
candidate_component_000603,train,6
candidate_component_000604,train,6
candidate_component_000605,train,6
candidate_component_000606,train,6
candidate_component_000607,train,6
candidate_component_000608,train,6
candidate_component_000609,train,6
candidate_component_000610,test,6
candidate_component_000611,validation,6
candidate_component_000612,train,6
candidate_component_000613,test,6
candidate_component_000614,test,6
candidate_component_000615,validation,6
candidate_component_000616,train,6
candidate_component_000617,train,6
candidate_component_000618,test,6
candidate_component_000619,train,6
candidate_component_000620,validation,6
candidate_component_000621,validation,6
candidate_component_000622,validation,6
candidate_component_000623,train,6
candidate_component_000624,train,6
candidate_component_000625,train,6
candidate_component_000626,test,6
candidate_component_000627,train,6
candidate_component_000628,validation,6
candidate_component_000629,train,6
candidate_component_000630,test,6
candidate_component_000631,test,6
candidate_component_000632,train,6
candidate_component_000633,train,6
candidate_component_000634,test,6
candidate_component_000635,train,6
candidate_component_000636,test,6
candidate_component_000637,validation,6
candidate_component_000638,validation,6
candidate_component_000639,validation,6
candidate_component_000640,test,6
candidate_component_000641,train,6
candidate_component_000642,train,6
candidate_component_000643,test,6
candidate_component_000644,test,6
candidate_component_000645,train,6
candidate_component_000646,train,6
candidate_component_000647,test,6
candidate_component_000648,validation,6
candidate_component_000649,train,6
candidate_component_000650,test,6
candidate_component_000651,train,6
candidate_component_000652,train,6
candidate_component_000653,train,6
candidate_component_000654,validation,6
candidate_component_000655,test,6
candidate_component_000656,train,6
candidate_component_000657,validation,6
candidate_component_000658,train,6
candidate_component_000659,validation,6
candidate_component_000660,test,6
candidate_component_000661,test,6
candidate_component_000662,test,6
candidate_component_000663,test,6
candidate_component_000664,train,6
candidate_component_000665,test,6
candidate_component_000666,train,6
candidate_component_000667,validation,6
candidate_component_000668,train,6
candidate_component_000669,train,6
candidate_component_000670,validation,6
candidate_component_000671,validation,6
candidate_component_000672,validation,6
candidate_component_000673,test,6
candidate_component_000674,train,6
candidate_component_000675,train,6
candidate_component_000676,test,6
candidate_component_000677,train,6
candidate_component_000678,train,6
candidate_component_000679,test,6
candidate_component_000680,train,6
candidate_component_000681,test,6
candidate_component_000682,validation,6
candidate_component_000683,train,6
candidate_component_000684,train,6
candidate_component_000685,train,6
candidate_component_000686,train,6
candidate_component_000687,train,6
candidate_component_000688,test,6
candidate_component_000689,validation,6
candidate_component_000690,train,6
candidate_component_000691,train,6
candidate_component_000692,validation,6
candidate_component_000693,train,6
candidate_component_000694,train,6
candidate_component_000695,test,6
candidate_component_000696,train,6
candidate_component_000697,validation,6
candidate_component_000698,train,6
candidate_component_000699,train,6
candidate_component_000700,train,6
candidate_component_000701,train,6
candidate_component_000702,train,6
candidate_component_000703,validation,6
candidate_component_000704,train,6
candidate_component_000705,train,6
candidate_component_000706,test,6
candidate_component_000707,test,6
candidate_component_000708,test,6
candidate_component_000709,validation,6
candidate_component_000710,test,6
candidate_component_000711,test,6
candidate_component_000712,validation,6
candidate_component_000713,train,6
candidate_component_000714,train,6
candidate_component_000715,train,6
candidate_component_000716,test,6
candidate_component_000717,validation,6
candidate_component_000718,test,6
candidate_component_000719,test,6
candidate_component_000720,test,6
candidate_component_000721,test,6
candidate_component_000722,train,6
candidate_component_000723,train,6
candidate_component_000724,train,6
candidate_component_000725,test,6
candidate_component_000726,train,6
candidate_component_000727,test,6
candidate_component_000728,validation,6
candidate_component_000729,train,6
candidate_component_000730,validation,6
candidate_component_000731,train,6
candidate_component_000732,train,6
candidate_component_000733,validation,6
candidate_component_000734,validation,6
candidate_component_000735,train,6
candidate_component_000736,validation,6
candidate_component_000737,train,6
candidate_component_000738,train,6
candidate_component_000739,train,6
candidate_component_000740,test,6
candidate_component_000741,train,6
candidate_component_000742,test,6
candidate_component_000743,train,6
candidate_component_000744,train,5
candidate_component_000745,test,5
candidate_component_000746,train,5
candidate_component_000747,train,5
candidate_component_000748,test,5
candidate_component_000749,train,5
candidate_component_000750,train,5
candidate_component_000751,test,5
candidate_component_000752,train,5
candidate_component_000753,validation,5
candidate_component_000754,train,5
candidate_component_000755,train,5
candidate_component_000756,train,5
candidate_component_000757,test,5
candidate_component_000758,validation,4
candidate_component_000759,train,4
candidate_component_000760,train,4
candidate_component_000761,test,4
candidate_component_000762,validation,4
candidate_component_000763,test,4
candidate_component_000764,test,4
candidate_component_000765,validation,4
candidate_component_000766,validation,4
candidate_component_000767,test,4
candidate_component_000768,validation,4
candidate_component_000769,train,3
candidate_component_000770,train,3
candidate_component_000771,validation,3
candidate_component_000772,train,3
candidate_component_000773,test,3
candidate_component_000774,train,3
candidate_component_000775,validation,3
candidate_component_000776,test,3
candidate_component_000777,train,3
candidate_component_000778,train,3
candidate_component_000779,train,3
candidate_component_000780,test,3
candidate_component_000781,test,3
candidate_component_000782,train,2
candidate_component_000783,train,2
candidate_component_000784,test,2
candidate_component_000785,validation,2
candidate_component_000786,validation,2
candidate_component_000787,validation,2
candidate_component_000788,validation,2
candidate_component_000789,validation,2
candidate_component_000790,test,2
candidate_component_000791,validation,2
candidate_component_000792,test,2
candidate_component_000793,validation,2
candidate_component_000794,train,2
candidate_component_000795,test,2
candidate_component_000796,validation,2
candidate_component_000797,train,2
candidate_component_000798,test,2
candidate_component_000799,validation,2
candidate_component_000800,validation,2
candidate_component_000801,test,2
candidate_component_000802,validation,2
candidate_component_000803,validation,2
candidate_component_000804,test,2
candidate_component_000805,test,1
candidate_component_000806,train,1
candidate_component_000807,train,1
candidate_component_000808,validation,1
candidate_component_000809,test,1
candidate_component_000810,train,1
candidate_component_000811,validation,1
candidate_component_000812,validation,1
candidate_component_000813,test,1
candidate_component_000814,test,1
candidate_component_000815,train,1
candidate_component_000816,test,1
candidate_component_000817,train,1
candidate_component_000818,train,1
candidate_component_000819,test,1
candidate_component_000820,train,1
candidate_component_000821,test,1
candidate_component_000822,train,1
candidate_component_000823,test,1
candidate_component_000824,validation,1
candidate_component_000825,validation,1
candidate_component_000826,train,1
candidate_component_000827,train,1
candidate_component_000828,train,1
candidate_component_000829,train,1
candidate_component_000830,train,1
candidate_component_000831,test,1
candidate_component_000832,validation,1
candidate_component_000833,test,1
candidate_component_000834,train,1
candidate_component_000835,train,1
candidate_component_000836,test,1
candidate_component_000837,validation,1
candidate_component_000838,train,1
candidate_component_000839,train,1
candidate_component_000840,validation,1
candidate_component_000841,validation,1
candidate_component_000842,train,1
candidate_component_000843,test,1
candidate_component_000844,train,1
candidate_component_000845,validation,1
candidate_component_000846,test,1
candidate_component_000847,test,1
candidate_component_000848,validation,1
candidate_component_000849,train,1
candidate_component_000850,train,1
candidate_component_000851,train,1
candidate_component_000852,test,1
candidate_component_000853,test,1
candidate_component_000854,train,1
candidate_component_000855,test,1
candidate_component_000856,test,1
candidate_component_000857,test,1
candidate_component_000858,train,1
candidate_component_000859,train,1
candidate_component_000860,test,1
candidate_component_000861,test,1
candidate_component_000862,test,1
candidate_component_000863,train,1
candidate_component_000864,train,1
candidate_component_000865,train,1
candidate_component_000866,test,1
candidate_component_000867,train,1
candidate_component_000868,test,1
candidate_component_000869,validation,1
candidate_component_000870,validation,1
candidate_component_000871,validation,1
candidate_component_000872,validation,1
candidate_component_000873,validation,1
candidate_component_000874,validation,1
candidate_component_000875,validation,1
candidate_component_000876,test,1
candidate_component_000877,test,1
candidate_component_000878,train,1
candidate_component_000879,test,1
candidate_component_000880,train,1
candidate_component_000881,train,1
candidate_component_000882,validation,1
candidate_component_000883,train,1
candidate_component_000884,test,1
candidate_component_000885,validation,1
candidate_component_000886,test,1
